name,artist,album,albumType,id,explict
Black - Live MTV Unplugged,Pearl Jam,MTV Unplugged,album,3xIaUb1WsnrqbJo6CsJMLO,False
7 rings - live,Ariana Grande,k bye for now (swt live),album,6va6SjWz457IOZidBppAhz,True
Die With A Smile,Lady Gaga,MAYHEM,album,7so0lgd0zP2Sbgs2d7a1SZ,False
E Tu Come Stai?,Renato Russo,O Último Solo,album,79BVfXqm9RPUGTKIpgb5A8,False
Strani Amori,Renato Russo,Duetos,album,0QfBjecPkYZvLAZX3Axt3k,False
Ti Chiedo Onesta,Renato Russo,O Ultimo Solo,album,1jwGeqPo6c1mQAUZ7Y25Pq,False
Chico,Luísa Sonza,Escândalo Íntimo,album,43eRVwfXFkY3kXN4K47gNT,False
Agora Hills,Doja Cat,Scarlet 2 CLAUDE,album,3NJUyVFo0JXkze3DDePOOe,True
Novidade na Área,Mc Livinho,Novidade na Área,single,2uhw2oYbugGJbn10wipNX5,True
Madrugada,Samira Close,Madrugada,single,14mI3oyk0qsaDCXI4uDo2E,False
